0 0 0 0 0 0 0 0 0 0 0 0 u1 u2 u3 u4 0 0 0 t1 t2 t3 0 0 0
y 0 0 0 0 0 0 0 0 0 0 0 u5 u6 u7 u8 0 0 0 t4 t5 t6 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 v1 v2 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 v3 v4 0 0 0 0 0 0
y 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 11 41 0 0 0 y 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 4 0 0 0 0 0 0 y y 0 0 0 0 0
3 3 3 3 3 3 3 3 7 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 y 0 5 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0
2 2 2 2 2 2 2 2 8 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 4 0 0 0 y 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 4 0 0 0 y 0 0 0 0 0 0 0 0 0
3 3 3 3 3 3 3 3 7 1 1 9 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 0 0 0 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 51 12 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 31 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
0 0 0 0 0 0 0 0 0 0 0 y 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
